ID_IBGE;Municipio;Populacao_2022;Privatizacao;Escolas
3538600;Piracaia;29876;;
3538709;Piracicaba;434432;;
3538808;Piraju;29027;;
3538907;Pirajuí;22451;;
3539004;Pirangi;10885;;
3539103;Pirapora do Bom Jesus;20578;;
3539202;Pirapozinho;25376;;
3539301;Pirassununga;73436;;
3539400;Piratininga;15120;;
3539509;Pitangueiras;33731;;
3539608;Planalto;4392;;
3539707;Platina;2990;;
3539806;Poá;109450;;
3539905;Poloni;5592;;
3540002;Pompéia;20171;;
3540101;Pongaí;3395;;
3540200;Pontal;37526;;
3540259;Pontalinda;4129;;
3540309;Pontes Gestal;2332;;
3540408;Populina;4154;;
3540507;Porangaba;9634;;
3540606;Porto Feliz;59306;;
3540705;Porto Ferreira;52551;;
3540754;Potim;20342;;
3540804;Potirendaba;20227;;
3540853;Pracinha;2581;;
3540903;Pradópolis;17035;;
3541000;Praia Grande;344834;;
3541059;Pratânia;5127;;
3541109;Presidente Alves;3819;;
3541208;Presidente Bernardes;14371;;
3541307;Presidente Epitácio;38992;;
3541406;Presidente Prudente;226692;;
3541505;Presidente Venceslau;35039;;
3541604;Promissão;35142;;
3541653;Quadra;3341;;
3541703;Quatá;12849;;
3541802;Queiroz;3274;;
3541901;Queluz;9387;;
3542008;Quintana;7043;;
3542107;Rafard;9333;;
3542206;Rancharia;28569;;
3542305;Redenção da Serra;3726;;
3542404;Regente Feijó;20151;;
3542503;Reginópolis;7632;;
3542602;Registro;63034;;
3542701;Restinga;6440;;
3542800;Ribeira;3085;;
3542909;Ribeirão Bonito;11004;;
3543006;Ribeirão Branco;18494;;
3543105;Ribeirão Corrente;4638;;
3543204;Ribeirão do Sul;4667;;
3543238;Ribeirão dos Índios;1999;;
3543253;Ribeirão Grande;7348;;
3543303;Ribeirão Pires;116174;;
3543402;Ribeirão Preto;702739;;
3543600;Rifaina;3958;;
3543709;Rincão;8731;;
3543808;Rinópolis;9251;;
3543907;Rio Claro;206950;;
3544004;Rio das Pedras;31503;;
3544103;Rio Grande da Serra;45183;;
3544202;Riolândia;10358;;
3543501;Riversul;5604;;
3544251;Rosana;17237;;
3544301;Roseira;10787;;
3544400;Rubiácea;2680;;
3544509;Rubinéia;3837;;
3544608;Sabino;5112;;
3544707;Sagres;2467;;
3544806;Sales;6468;;
3544905;Sales Oliveira;11420;;
3545001;Salesópolis;15289;;
3545100;Salmourão;4758;;
3545159;Saltinho;8353;;
3545209;Salto;141988;;
3545308;Salto de Pirapora;44921;;
3545407;Salto Grande;9051;;
3545506;Sandovalina;3657;;
3545605;Santa Adélia;14018;;
3545704;Santa Albertina;6388;;
3545803;Santa Bárbara d'Oeste;183447;;
3546009;Santa Branca;13441;;
3546108;Santa Clara d'Oeste;2596;;
3546207;Santa Cruz da Conceição;4179;;
3546256;Santa Cruz da Esperança;2129;;
3546306;Santa Cruz das Palmeiras;28861;;
3546405;Santa Cruz do Rio Pardo;46105;;
3546504;Santa Ernestina;6123;;
3546603;Santa Fé do Sul;34762;;
3546702;Santa Gertrudes;23721;;
